details_id,pair,timestamp,rate,volume
hinekoras-lock,exalted,2025-12-16T00:00:00Z,2000,0
hinekoras-lock,exalted,2025-12-14T00:00:00Z,260,0
hinekoras-lock,chaos,2026-01-03T00:00:00Z,8200,0
hinekoras-lock,chaos,2025-12-30T00:00:00Z,6007,0
hinekoras-lock,chaos,2025-12-17T00:00:00Z,555,0
fracturing-orb,divine,2026-01-15T00:00:00Z,15.4,31812
fracturing-orb,divine,2026-01-14T00:00:00Z,20.24,39409
fracturing-orb,divine,2026-01-13T00:00:00Z,27.44,48050
fracturing-orb,divine,2026-01-12T00:00:00Z,22.4,37485
fracturing-orb,divine,2026-01-11T00:00:00Z,17.91,42599
fracturing-orb,divine,2026-01-10T00:00:00Z,13.63,22469
fracturing-orb,divine,2026-01-09T00:00:00Z,12.02,26166
fracturing-orb,divine,2026-01-08T00:00:00Z,10.06,17340
fracturing-orb,divine,2026-01-07T00:00:00Z,9.64,15113
fracturing-orb,divine,2026-01-06T00:00:00Z,9.61,13384
fracturing-orb,divine,2026-01-05T00:00:00Z,7.84,15849
fracturing-orb,divine,2026-01-04T00:00:00Z,5.54,11606
fracturing-orb,divine,2026-01-03T00:00:00Z,6.07,11284
fracturing-orb,divine,2026-01-02T00:00:00Z,5.08,11281
fracturing-orb,divine,2026-01-01T00:00:00Z,4.59,6832
fracturing-orb,divine,2025-12-31T00:00:00Z,4.49,8377
fracturing-orb,divine,2025-12-30T00:00:00Z,2.38,3394
fracturing-orb,divine,2025-12-29T00:00:00Z,1.91,1837
fracturing-orb,divine,2025-12-28T00:00:00Z,1.48,1384
fracturing-orb,divine,2025-12-27T00:00:00Z,1.08,869.9
fracturing-orb,divine,2025-12-26T00:00:00Z,0.9782,715.0
fracturing-orb,divine,2025-12-25T00:00:00Z,0.9131,465.5
fracturing-orb,divine,2025-12-24T00:00:00Z,0.9027,428.5
fracturing-orb,divine,2025-12-23T00:00:00Z,0.8963,303.0
fracturing-orb,divine,2025-12-22T00:00:00Z,0.7084,282.4
fracturing-orb,divine,2025-12-21T00:00:00Z,0.6315,173.3
fracturing-orb,divine,2025-12-20T00:00:00Z,0.5722,140.4
fracturing-orb,divine,2025-12-19T00:00:00Z,0.4621,64.35
fracturing-orb,divine,2025-12-18T00:00:00Z,0.442,64.93
fracturing-orb,divine,2025-12-17T00:00:00Z,0.3878,38.52
fracturing-orb,divine,2025-12-16T00:00:00Z,0.2675,24.45
fracturing-orb,divine,2025-12-15T00:00:00Z,0.1535,3.55
fracturing-orb,divine,2025-12-14T00:00:00Z,0.337,0.8333
fracturing-orb,divine,2025-12-13T00:00:00Z,1,0
fracturing-orb,exalted,2026-01-15T00:00:00Z,4312,389.7
fracturing-orb,exalted,2026-01-14T00:00:00Z,6581,949.5
fracturing-orb,exalted,2026-01-13T00:00:00Z,8799,1520
fracturing-orb,exalted,2026-01-12T00:00:00Z,7328,1431
fracturing-orb,exalted,2026-01-11T00:00:00Z,6123,1934
fracturing-orb,exalted,2026-01-10T00:00:00Z,4614,1565
fracturing-orb,exalted,2026-01-09T00:00:00Z,4012,1963
fracturing-orb,exalted,2026-01-08T00:00:00Z,3225,1780
fracturing-orb,exalted,2026-01-07T00:00:00Z,2843,1795
fracturing-orb,exalted,2026-01-06T00:00:00Z,2685,1577
fracturing-orb,exalted,2026-01-05T00:00:00Z,2132,1905
fracturing-orb,exalted,2026-01-04T00:00:00Z,1500,1898
fracturing-orb,exalted,2026-01-03T00:00:00Z,1505,1449
fracturing-orb,exalted,2026-01-02T00:00:00Z,1202,1615
fracturing-orb,exalted,2026-01-01T00:00:00Z,1290,1418
fracturing-orb,exalted,2025-12-31T00:00:00Z,1553,2018
fracturing-orb,exalted,2025-12-30T00:00:00Z,923.2,1507
fracturing-orb,exalted,2025-12-29T00:00:00Z,737.2,1170
fracturing-orb,exalted,2025-12-28T00:00:00Z,564.5,1337
fracturing-orb,exalted,2025-12-27T00:00:00Z,388.7,914.4
fracturing-orb,exalted,2025-12-26T00:00:00Z,321.9,893.8
fracturing-orb,exalted,2025-12-25T00:00:00Z,249.9,705.9
fracturing-orb,exalted,2025-12-24T00:00:00Z,205.5,746.0
fracturing-orb,exalted,2025-12-23T00:00:00Z,184.1,584.6
fracturing-orb,exalted,2025-12-22T00:00:00Z,147.1,629.7
fracturing-orb,exalted,2025-12-21T00:00:00Z,105.5,429.5
fracturing-orb,exalted,2025-12-20T00:00:00Z,79.81,378.9
fracturing-orb,exalted,2025-12-19T00:00:00Z,62.99,209.3
fracturing-orb,exalted,2025-12-18T00:00:00Z,53.14,278.5
fracturing-orb,exalted,2025-12-17T00:00:00Z,36.63,167.4
fracturing-orb,exalted,2025-12-16T00:00:00Z,24.95,126.8
fracturing-orb,exalted,2025-12-15T00:00:00Z,15.86,39.72
fracturing-orb,exalted,2025-12-14T00:00:00Z,8.58,15.65
fracturing-orb,exalted,2025-12-13T00:00:00Z,6.92,0.7126
fracturing-orb,chaos,2026-01-15T00:00:00Z,631.2,434.4
fracturing-orb,chaos,2026-01-14T00:00:00Z,965.5,848.3
fracturing-orb,chaos,2026-01-13T00:00:00Z,1483,1256
fracturing-orb,chaos,2026-01-12T00:00:00Z,1283,1110
fracturing-orb,chaos,2026-01-11T00:00:00Z,1031,1387
fracturing-orb,chaos,2026-01-10T00:00:00Z,855.6,1143
fracturing-orb,chaos,2026-01-09T00:00:00Z,776.9,1342
fracturing-orb,chaos,2026-01-08T00:00:00Z,630.0,1214
fracturing-orb,chaos,2026-01-07T00:00:00Z,538.1,1159
fracturing-orb,chaos,2026-01-06T00:00:00Z,480.4,855.4
fracturing-orb,chaos,2026-01-05T00:00:00Z,409.0,1067
fracturing-orb,chaos,2026-01-04T00:00:00Z,296.0,991.8
fracturing-orb,chaos,2026-01-03T00:00:00Z,424.7,767.9
fracturing-orb,chaos,2026-01-02T00:00:00Z,436.1,1299
